resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,2u,90n,600m,600m,,,2.575e-05,17620000000.0,0.575,CS_diode_load,0.6,0.6
,2u,90n,10u,90n,600m,600m,,,3.918e-05,32730000000.0,0.515,CS_diode_load,0.6,0.6
,2u,90n,50u,90n,600m,600m,,,4.704e-05,44220000000.0,0.4553,CS_diode_load,0.6,0.6
,10u,90n,2u,90n,600m,600m,,,4.738e-05,5847000000.0,0.6659,CS_diode_load,0.6,0.6
,10u,90n,10u,90n,600m,600m,,,0.0001185,16610000000.0,0.582,CS_diode_load,0.6,0.6
,10u,90n,50u,90n,600m,600m,,,0.0001943,35310000000.0,0.5345,CS_diode_load,0.6,0.6
,50u,90n,2u,90n,600m,600m,,,5.929e-05,1289000000.0,0.6566,CS_diode_load,0.6,0.6
,50u,90n,10u,90n,600m,600m,,,0.000236,5275000000.0,0.6198,CS_diode_load,0.6,0.6
,50u,90n,50u,90n,600m,600m,,,0.0008455,21900000000.0,0.5684,CS_diode_load,0.6,0.6
,2u,90n,2u,90n,700m,600m,,,3.373e-05,12830000000.0,0.3687,CS_diode_load,0.7000000000000001,0.6
,2u,90n,10u,90n,700m,600m,,,6.298e-05,27310000000.0,0.3132,CS_diode_load,0.7000000000000001,0.6
,2u,90n,50u,90n,700m,600m,,,9.047e-05,48700000000.0,0.2947,CS_diode_load,0.7000000000000001,0.6
,10u,90n,2u,90n,700m,600m,,,5.225e-05,3799000000.0,0.4236,CS_diode_load,0.7000000000000001,0.6
,10u,90n,10u,90n,700m,600m,,,0.0001561,12100000000.0,0.3717,CS_diode_load,0.7000000000000001,0.6
,10u,90n,50u,90n,700m,600m,,,0.0003357,31530000000.0,0.3238,CS_diode_load,0.7000000000000001,0.6
,50u,90n,2u,90n,700m,600m,,,6.026e-05,796800000.0,0.413,CS_diode_load,0.7000000000000001,0.6
,50u,90n,10u,90n,700m,600m,,,0.0002525,3386000000.0,0.3944,CS_diode_load,0.7000000000000001,0.6
,50u,90n,50u,90n,700m,600m,,,0.001096,15890000000.0,0.3669,CS_diode_load,0.7000000000000001,0.6
,2u,90n,2u,90n,800m,600m,,,3.846e-05,9301000000.0,0.251,CS_diode_load,0.8,0.6
,2u,90n,10u,90n,800m,600m,,,8.064e-05,21320000000.0,0.2096,CS_diode_load,0.8,0.6
,2u,90n,50u,90n,800m,600m,,,0.0001306,41470000000.0,0.1898,CS_diode_load,0.8,0.6
,10u,90n,2u,90n,800m,600m,,,5.458e-05,2568000000.0,0.2837,CS_diode_load,0.8,0.6
,10u,90n,10u,90n,800m,600m,,,0.0001782,8755000000.0,0.2522,CS_diode_load,0.8,0.6
,10u,90n,50u,90n,800m,600m,,,0.0004456,24980000000.0,0.2145,CS_diode_load,0.8,0.6
,50u,90n,2u,90n,800m,600m,,,6.069e-05,527200000.0,0.2756,CS_diode_load,0.8,0.6
,50u,90n,10u,90n,800m,600m,,,0.0002603,2283000000.0,0.2649,CS_diode_load,0.8,0.6
,50u,90n,50u,90n,800m,600m,,,0.001246,11530000000.0,0.251,CS_diode_load,0.8,0.6
,2u,90n,2u,90n,900m,600m,,,4.144e-05,6853000000.0,0.1784,CS_diode_load,0.9,0.6
,2u,90n,10u,90n,900m,600m,,,9.356e-05,16610000000.0,0.1485,CS_diode_load,0.9,0.6
,2u,90n,50u,90n,900m,600m,,,0.0001635,33750000000.0,0.1315,CS_diode_load,0.9,0.6
,10u,90n,2u,90n,900m,600m,,,5.586e-05,1808000000.0,0.1987,CS_diode_load,0.9,0.6
,10u,90n,10u,90n,900m,600m,,,0.0001921,6435000000.0,0.1787,CS_diode_load,0.9,0.6
,10u,90n,50u,90n,900m,600m,,,0.0005284,19640000000.0,0.1515,CS_diode_load,0.9,0.6
,50u,90n,2u,90n,900m,600m,,,6.092e-05,366700000.0,0.1926,CS_diode_load,0.9,0.6
,50u,90n,10u,90n,900m,600m,,,0.0002646,1605000000.0,0.1858,CS_diode_load,0.9,0.6
