resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,29.24u,90n,10u,90n,900m,660.4m,,400m,2.869e-05,272800000.0,0.002167,CS_Current_source_load,0.9,0.6604
,29.24u,90n,50u,90n,900m,660.4m,,400m,0.000122,1167000000.0,0.009379,CS_Current_source_load,0.9,0.6604
,50u,90n,2u,90n,900m,660.4m,,400m,6.03e-06,32910000.0,0.0002452,CS_Current_source_load,0.9,0.6604
,50u,90n,10u,90n,900m,660.4m,,400m,2.87e-05,156800000.0,0.00117,CS_Current_source_load,0.9,0.6604
,50u,90n,50u,90n,900m,660.4m,,400m,0.0001222,669900000.0,0.005031,CS_Current_source_load,0.9,0.6604
,2u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,22610.0,3.2e-06,CS_Current_source_load,0.4,0.4
,2u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,103200.0,1.461e-05,CS_Current_source_load,0.4,0.4
,2u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,504300.0,7.139e-05,CS_Current_source_load,0.4,0.4
,3.42u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,14380.0,2.139e-06,CS_Current_source_load,0.4,0.4
,3.42u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,62190.0,9.256e-06,CS_Current_source_load,0.4,0.4
,3.42u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,300100.0,4.466e-05,CS_Current_source_load,0.4,0.4
,5.848u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,9462.0,1.456e-06,CS_Current_source_load,0.4,0.4
,5.848u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,37660.0,5.796e-06,CS_Current_source_load,0.4,0.4
,5.848u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,178000.0,2.739e-05,CS_Current_source_load,0.4,0.4
,10u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,6546.0,1.029e-06,CS_Current_source_load,0.4,0.4
,10u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,23120.0,3.635e-06,CS_Current_source_load,0.4,0.4
,10u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,105600.0,1.661e-05,CS_Current_source_load,0.4,0.4
,17.1u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,4620.0,5.929e-07,CS_Current_source_load,0.4,0.4
,17.1u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,13860.0,1.779e-06,CS_Current_source_load,0.4,0.4
,17.1u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,60010.0,7.7e-06,CS_Current_source_load,0.4,0.4
,29.24u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,3564.0,4.142e-07,CS_Current_source_load,0.4,0.4
,29.24u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,8882.0,1.032e-06,CS_Current_source_load,0.4,0.4
,29.24u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,35250.0,4.097e-06,CS_Current_source_load,0.4,0.4
,50u,90n,2u,90n,400m,400m,,692.8m,6.854e-14,2963.0,3.093e-07,CS_Current_source_load,0.4,0.4
,50u,90n,10u,90n,400m,400m,,692.8m,4.219e-13,5986.0,6.247e-07,CS_Current_source_load,0.4,0.4
,50u,90n,50u,90n,400m,400m,,692.8m,1.777e-12,21000.0,2.192e-06,CS_Current_source_load,0.4,0.4
,2u,90n,2u,90n,500m,400m,,692.8m,6.854e-14,13650.0,6.512e-07,CS_Current_source_load,0.5,0.4
,2u,90n,10u,90n,500m,400m,,692.8m,4.219e-13,58490.0,2.792e-06,CS_Current_source_load,0.5,0.4
,2u,90n,50u,90n,500m,400m,,692.8m,1.777e-12,281600.0,1.344e-05,CS_Current_source_load,0.5,0.4
,3.42u,90n,2u,90n,500m,400m,,692.8m,6.854e-14,9067.0,4.508e-07,CS_Current_source_load,0.5,0.4
,3.42u,90n,10u,90n,500m,400m,,692.8m,4.219e-13,35620.0,1.771e-06,CS_Current_source_load,0.5,0.4
,3.42u,90n,50u,90n,500m,400m,,692.8m,1.777e-12,167700.0,8.34e-06,CS_Current_source_load,0.5,0.4
